sample_code	recipe_summary_ko
FBL2002	먼저아웃라인을 BL라운드로 설정한다. 후대각 섹션과 천체축 각도 75도, 다이렉션 D0기점으로 고정 디자인 라인을 활용하여 진행한다. 전대각 섹션과 천체축 각도 135도, 다이렉션 D0 기점으로 고정 디자인라인을 활용하여 진행한다. 파이섹션과 천체축 각도 135도, 다이렉션 D8 기점으로 고정 디자인 라인을 활용하여 진행한다.
FBL2003	먼저 아웃라인을 BL스퀘어로 설정한다. 후대각세션, 섹션과 비평행, 천체축 각도75도 다이렉션 D0 기점으로 고정 디자인라인을 활용하여 진행한다. 파이섹션, 천체축 각도 135도와 다이렉션 D8~D4기점까지 이동 디자인 라인으로 이동하며, 나머지 사이드 부분은 다이렉션 D4기점을 축으로 고정 디자인라인으로 진행한다.
FBL2004	먼저 아웃라인을 BL스퀘어로 설정한다. 후대각 섹션과 천체축 각도75도, 다이렉션 D0 기점으로 고정 디자인라인을 활용하여 진행한다. 전대각 섹션과 천체축 각도 135도로 진행하며, 다이렉션 D0기점, 고정 디자인라인으로 진행한다. 파이섹션과 천체축 각도 135도 다이렉션 D8~D4기점까지 이동 디자인라인으로 진행하며, 나머지 사이드 부분은 다이렉션 D4 기점을 축으로 고정 디자인 라인으로 진행한다.
FBL2005	먼저 아웃라인을 BL스퀘어로 설정한다. 후대각 섹션과 천체축 각도 75도, 다이렉션 D0기점으로 고정 디자인 라인을 활용하여 진행한다. 파이섹션과 천체축 각도 135도, 다이렉션 D8~D4기점까지 이동 디자인 라인으로 진행하며, 나머지 사이드 부분은 다이렉션 D4기점을 축으로 고정 디자인라인으로 진행한다.
FBL2007	먼저 아웃라인을 BL라운드로 설정한다. 전대각 섹션과 천체축 각도135도, 다이렉션 D0기점으로 고정 디자인라인을 활용하여 진행한다. 파이섹션과 천체축 각도 135도, 다이렉션 D8기점을 이용하여 고정 디자인라인으로 진행한다. 프린지 부분은 전대각 섹션을 활용하여 고정 디자인라인으로 진행한다.
FBL2009	먼저 아웃라인을 BL라운드로 설정한다. 후대각 세션과 천체축 각도 75도~135도, 다이렉션 D0 기점으로 이동 디자인라인을 활용하여 진행한다. 파이섹션과 천체축 각도 135도, 다이렉션 D8~D4 기점까지 이동 디자인 라인으로 진행하며, 나머지 사이드 부분은 다이렉션 D4기점을 축으로 고정 디자인 라인으로 진행한다. 전대각 섹션과 천체축 각도135도, 다이렉션 D0기점으로 고정디자인라인을 활용하여 진행한다.
FBL2010	먼저 아웃라인을 BL스퀘어로 설정한다. 후대각 섹션과 천체축 각도75도~135도까지 다이렉션 D0기점으로 이동 디자인라인을 활용하여 진행한다. 파이섹션과 천체축 각도 135도 다이렉션 D8~D4기점까지 이동 디자인 라인으로 진행하며, 나머지 사이드 부분은 다이렉션 D4기점을 축으로 고정 디자인라인으로 진행한다.
FBL3001	후대각 섹션과 천체축 각도 75도~135도, 다이렉션D0기점으로 이동 디자인 라인을 활용하여 진행한다. 파이섹션과 천체축 각도 135도, 다이렉션 D8~D4기점까지 이동 디자인 라인과 사이드는 D4기점을 축으로 고정 디자인라인을 활용하여 진행한다. 마지막으로 아웃라인을 BL스퀘어로 설정한다.
FBL3002	먼저 아웃라인을 BL라운드로 설정한다. 후대각 섹션과 천체축 각도 75도~135도, 다이렉션 D0기점으로 이동 디자인라인을 활용하여 진행한다. 파이섹션과 천체축 각도 135도 다이렉션 D8기점으로 고정 디자인라인을 활용하여 진행한다. 전대각 섹션과 천체축 각도 135도 다이렉션 D0기점으로 고정디자인 라인을 활용하여 진행한다.
FBL4002	후대각 섹션과 천체축 각도 75도~135도, 다이렉션 D0기점으로 이동 디자인라인을 활용하여 진행한다. 파이섹션과 천체축 각도 135도, 다이렉션 D8~D4 기점까지 이동 디자인 라인과 사이드부분은 D4기점을 축으로 고정 디자인라인을 활용하여 진행한다. 마지막으로 아웃 라인을 BL스퀘어로 설정한다.
FCL1001	먼저 아웃라인을 CL스퀘어로 진행한다. 후대각섹션과 천체축 각도 45도, 다이렉션 D0기점으로 고정 디자인라인을 활용하여 포인트컷으로 진행한다. 전대각섹션과 천체축 각도 135도, 다이렉션 D0기점을 축으로 고정 디자인라인을 활용하여 진행한다. 파이섹션과 세로섹션을 이용하여, 천체축 각도135도, 다이렉션 D8기점을 축으로 고정 디자인라인을 활용하여 진행한다.
FCL1002	먼저 아웃라인을 CL스퀘어로 진행한다. 후대각섹션과 천체축 각도 45도, 다이렉션 D0기점으로 고정 디자인라인을 활용하여 포인트컷으로 진행한다. 후대각 섹션과 천체축 각도75도, 다이렉션 D0 기점을 축으로 고정 디자인라인을 활용하여 진행한다.
FCL2002	엑스터널 부분의 아웃라인을 CL트라이앵귤러 라인으로 진행한다. 엑스터널 부분은 세로섹션으로 진행한다. 천체축각도 135도와 다이렉션 D8기점을 축으로 고정디자인 라인으로 진행한다. 엑스터널 부분은 전대각 섹션으로 진행한다. 천체축 각도 135도와 다이렉션 D0기점을 축으로 고정 디자인라인으로 진행한다. 인터널 부분은 후대각 섹션으로 진행한다. 천체축각도 75도와 다이렉션 D0기점을 축으로 고정 디자인라인으로 진행한다. 인터널 부분과 엑스터널 부분은 디스커넥션으로 진행한다. 인터널 부분은 파이섹션으로 진행한다. 천체축 각도135도와 다이렉션 D8기점을 축으로 고정디자인라인과 디스커넥션으로 진행한다. 인터널 부분은 전대각 섹션으로 진행한다. 천체축 각도 135도와 다이렉션 D0기점을 축으로 고정 디자인라인으로 진행한다.
FCL2003	아웃라인을 CL스퀘어 라인으로 진행한다. 후대각 섹션과 천체축 각도 75도, 다이렉션 D0기점을 축으로 고정 디자인라인으로 진행한다. 후대각 섹션과 천체축 각도 75도~135도까지 다이렉션 D0기점을 축으로 이동 디자인 라인으로 진행한다. 파이섹션과 천체축각도 135도 다이렉션 D8기점을 축으로 고정 디자인라인으로 진행한다.
FCL2004	아웃라인을 CL스퀘어 라인으로 진행한다. 후대각 섹션과 천체축 각도 75도 다이렉션 D0기점을 축으로 고정 디자인라인으로 진행한다. 후대각 섹션과 천체축 각도75도~135도까지 다이렉션 D0기점을 축으로 이동 디자인라인으로 진행한다.
FCL2006	먼저 CL길이의 아웃라인을 천체축 각도 0도로 스퀘어 라인으로 정리한다. 이때 전체 모발을 한꺼번에 진행할 수도 있지만, A존 B존 C존 3파트로 분류하여 진행하면 효율적으로 아웃라인을 정리할 수 있다. 후대각 섹션과 천체축 각도 75도 다이렉션 D0기점을 축으로 고정 디자인라인으로 진행한다. 파이섹션과 세로섹션을 이용하여 천체축 각도 135도 다이렉션 D8기점을 축으로 고정 디자인라인으로 진행한다.
FDL1001	아웃라인을 DL스퀘어 라인으로 진행한다. 후대각 섹션과 천체축 각도 75도 다이렉션 D0기점을 축으로 첫패널은 섹션과 비평행으로 진행한다. 두번째 패널부터 천체축 각도 157.5도와 리프팅 L7기점을 축으로 섹션과 비평행 이동 디자인라인으로 진행한다.
FDL1002	아웃라인을 DL스퀘어 라인으로 진행한다. 파이섹션과 천체축 각도 135도, 다이렉션 D8~D6기점으로 이동디자인라인으로 진행한다. 후대각 섹션과 천체축 각도 75도~157.5도까지 다이렉션 D0기점으로 이동 디자인라인으로 진행한다.
FDL1003	아웃라인을 DL스퀘어 라인으로 진행한다. 후대각 섹션과 천체축 각도 75도 , 다이렉션 D0기점으로 고정 디자인라인으로 진행한다. 후대각 세션과 천체축 각도 75도~157.5도까지 다이렉션 D0기점으로 이동 디자인라인으로 진행한다. 파이섹션과 천체축 각도 135도, 다이렉션 D8~D6기점까지 이동 디자인라인으로 진행한다.
FDL2001	아웃라인을 DL스퀘어라인으로 진행한다. 엑스터널부분은 세로섹션과 천체축 각도 90도 다이렉션 D8기점으로 혼합 디자인라인과 스퀘어 커트 형태로 진행한다. 사이드 부분은 세로 섹션과 천체축 각도90도 다이렉션D4기점으로 혼합 디자인 라인과 스퀘어 커트 형태로 진행한다. 인터널 부분은 세로섹션과 천체축 각도90도 다이렉션 D8기점으로 혼합 디자인 라인과 스퀘어 커트 형태로 진행한다. 사이드 부분은 세로 섹션과 천체축 각도 90도 다이렉션 D4기점으로 혼합 디자인라인과 스퀘어 커트 형태로 진행한다. 후대각 섹션과 천체축 각도 75도 다이렉션 D0기점으로 고정 디자인라인으로 진행한다.
FDL2002	가로섹션과 천체축 각도 45도까지 다이렉션 D8rlwjadmfh 이동 디자인 라인과 스퀘어 그래쥬에이션으로 진행한다. 후대각 섹션과 천체축 각도 75도 다이렉션 D0기점으로 고정 디자인라인으로 진행한다.
FDL2003	가로섹션과 천체축 각도 45도 다이렉션 D8기점으로 이동 디자인라인과 스퀘어 그레쥬에이션으로 진행한다. 후대각 섹션과 천체축 각도 75도와 157.5도, 다이렉션D0기점으로 이동 디자인라인으로 진행한다.
FDL2004	아웃라인을 DL스퀘어로 정리한다. 후대각 섹션과 천체축 각도 75도~135도까지 다이렉션 D0기점으로 이동 디자인 라인으로 진행한다. 전대각 섹션과 천체축 각도 135도, 다이렉션 D0기점으로 고정 디자인라인으로 진행한다. 파이섹션과 천체축 각도 135도 다이렉션 D8기점으로 고정 디자인라인으로 진행한다.
FDL3001	아웃라인을 DL스퀘어 라인으로 정리한다. 후대각 섹션과 천체축 각도 75도, 다이렉션 D0기점으로 고정 디자인라인으로 진행한다. 전대각 섹션과 천체축 각도 135도 다이렉션 D0기점으로 고정 디자인라인으로 진행한다. 파이섹션과 천체축 각도 135도 다이렉션 D8기점으로 고정 디자인라인으로 진행한다. 가로섹션과 천체축 각도 180도 리프트 L8기점으로 고정 디자인라인으로 진행한다.
FEL1001	아웃라인을 EL스퀘어로 정리한다. 후대각섹션과 천체축 각도 75도, 다이렉션 D0기점으로 고정 디자인라인으로 진행한다. 파이섹션과 천체축각도 180도, 리프트L8, 다이렉션 D8~D4까지 이동 디자인 라인과 사이드 부분은 D4기점을 축으로 고정 디자인라인으로 진행한다.
FEL1002	리셋션 섹션을 분리한다. 엑스터널부분은 천체축각도0도로 아웃라인을 정리한다. 인터널 부분은 리프트L8 기점, 스퀘어라인, 고정 디자인라인으로 진행한다. F.S.P기점~S.P 기점분리, 전대각 섹션과 천체축각도 67.5도와 다이렉션 D8~D6기점까지 이동 디자인라인과 디스커넥션으로 진행한다. C존은 파이섹션과 천체축 각도 75도, 다이렉션 D8~D6기점까지 이동 디자인라인으로 진행한다. 후대각섹션과 천체축 각도 75도 다이렉션 D0기점으로 고정 디자인라인으로 진행한다. 파이섹션과 천체축 각도 180도 다이렉션 D8~D4기점까지 이동 디자인 라인과 사이드 부분은 다이렉션 D4기점을 축으로 고정 디자인라인으로 진행한다. 전대각 섹션과 천체축 각도 135도, 다이렉션 D0 기점으로 고정 디자인라인으로 진행한다.
FEL1003	아웃라인을 EL스퀘어라인으로 정리한다. 후대각 섹션과 천체축 각도 75도, 다이렉션 D0기점으로 고정 디자인라인으로 진행한다. 파이섹션과 천체축 각도 180도 다이렉션 D8~D4 기점까지 이동 디자인 라인과 사이드 부분은 다이렉션 D4기점을 축으로 고정 디자인라인으로 진행한다.
FEL2001	아웃라이너을 EL스퀘어라인으로 정리한다. 후대각 섹션과 천체축 각도 75도, 135도~157.5도까지 다이렉션 D0기점으로 이동 디자인라인으로 진행한다.
FEL2002	아웃라인을 EL스퀘어라인으로 정리한다. 후대각 섹션과 천체축 각도 75도, 157.5도를 활용하여 다이렉션 D0기점으로 이동 디자인라인으로 진행한다. 후대각 섹션과 천체축 각도 135도, 다이렉션 D8기점으로 고정 디자인 라인으로 진행한다. 프린지 부분을 삼각형으로 분리 후 천체축 각도 45도 다이렉션 D0 기점으로 고정 디자인라인으로 진행한다. 파이섹션과 천체축 각도 135도 다이렉션 D0기점으로 고정 디자인라인으로 진행한다.
FEL2003	아웃라인을 EL스퀘어 라인으로 정리한다. 엑스터널부분은 세로 섹션과 천체축 각도 90도와 다이렉션 D8기점으로 스퀘어 커트로 진행한다. 사이드 부분은 세로 섹션과 천체축 각도 90도 다이렉션 D4기점으로 스퀘어 커트로 진행한다. 인터널 부분은 세로섹션과 천체축 각도 90도 다이렉션 D8기점으로 스퀘어커트로 진행한다. 사이드 부분은 세로섹션과 천체축 각도 90도, 다이렉션 D4기점으로 스퀘어커트로 진행한다. 후대각 섹션과 천체축 각도 75도 다이렉션 D0기점으로 고정 디자인라인으로 진행한다.
FEL2004	아웃라인을 EL스퀘어라인으로 정리한다. 후대각 섹션과 천체축 각도 90도 다이렉션 D8기점으로 스퀘어커트로 진행한다. 후대각 섹션과 천체축 각도 75도 다이렉션 D0기점을 축으로 고정 디자인라인으로 진행한다. 세로섹션과 천체축 각도 135도 다이렉션D8기점, 스퀘어 커트로 진행한다.
FEL2005	아웃라인을 EL스퀘어 라인으로 정리한다. 파이섹션과 천체축 각도 180도 다이렉션 D8~D4기점까지 이동 디자인라인과 사이드 부분은 다이렉션 D4기점을 축으로 고정 디자인라인으로 진행한다. 후대각 섹션과 천체축 각도 75도 다이렉션 D0기점으로 고정 디자인 라인으로 진행한다. 프린지 부분은 삼각형 형태로 분리 후 가로섹션을 이용하여 천체축 각도 45도, 다이렉션 D0기점으로 고정 디자인라인으로 진행한다. 파이섹션과 천체축각도 135도 다이렉션 D0기점으로 고정 디자인 라인으로 진행한다.
FEL3001	아웃라인을 EL스퀘어 라인으로 정리한다. 후대각 섹션과 천체축 각도 75도 다이렉션 D0기점으로 고정 디자인라인으로 진행한다. 파이섹션과 천체축 각도 135도 다이렉션 D8기점으로 고정 디자인라인으로 진행한다. 전대각 섹션과 천체축 각도 135도, 다이렉션 D0기점으로 고정 디자인라인으로 진행한다.
FFL1001	아웃라인을 FL스퀘어 라인으로 정리한다. 후대각섹션과 천체축 각도 90도 다이렉션 D8기점을 축으로 혼합 디자인 라인과 스퀘어 커트로 진행한다. 후대각섹션과 천체축 각도 75도 다이렉션 D0기점으로 고정 디자인라인으로 진행한다.
FFL1002	A존 C존 파이섹션, B존 전대각 섹션, A존은 아웃라인을 먼저 정리한 후 파이섹션 과 다이렉션 D8~D6기점까지 이동 디자인라인으로 진행하며, 천체축 각도 45도~75도까지 진행한다. B존은 아웃라인을 먼저 정리한 후 전대각 섹션과 다이렉션 D8~D6까지 이동 디자인 라인으로 진행하며, 천체축 각도 67.5도로 진행한다. C존은 파이섹션과 다이렉션 D8~D6기점까지 이동 디자인라인으로 진행하며, 천체축 각도 85도로 진행한다. 후대각섹션과 다이렉션 D0기점을 축으로 천체축각도 75도, 고정 디자인라인으로 진행한다.
FFL1003	A존은 아웃라인을 먼저 정리한 후 파이섹션과 다이렉션 D8~D6기점까지 천체축 각도 67.5도 이동 디자인라인으로 진행한다. 비존은 아웃라인을 먼저 정리한 후 전대각 섹션과 다이렉션 D8~D6기점까지 이동 디자인라인과 천체축 각도 75도로 진행한다. C존은 파이섹션과 다이렉션 D8~D6기점까지 이동 디자인라인과 천체축 각도 90도로 진행한다. 엑스터널의 사이드 부분은 리프트 L8기점과 스퀘어 라인, 고정 디자인라인으로 진행한다. 엑스터널의 사이드 부분은 인터널부분보다 조금짧은 디스커넥션 스타일로 표현된다. 후대각 섹션과 다이렉션 D0기점을 축으로 고정 디자인라인과 천체축 각도 75도로 진행한다. 후대각 섹션과 다이렉션 D0기점을 축으로 이동 디자인라인과 천체축 각도 75도~135도까지 진행한다.
FFL1004	A존은 아웃라인을 먼저 정리한 후 파이섹션과 다이렉션 D8~D6기점까지 이동 디자인라인과 천체축 각도 45도~75도까지 진행한다. B존은 세로섹션과 다이렉션 D8기점으로 혼합 디자인라인과 천체축 각도 90도 스퀘어 커트로 진행한다. 후대각 섹션과 다이렉션 D0기점을 축으로 천체축 각도 75도, 고정 디자인라인으로 진행한다.
FFL2001	아웃라인을 FL스퀘어 라인으로 정리한다. 후대각섹션과 다이렉션 D8기점을 축으로 천체축 각도 90도, 고정 디자인라인으로 진행한다.
FFL2003	가로섹션과 천체축 각도 0도~45도까지 다이렉션 D8기점을 축으로 이동 디자인라인과 스퀘어 그래쥬에이션으로 진행한다. 엑스터널의 사이드 부분은 천체축 각도 180도, 고정 디자인라인과 스퀘어라인으로 진행한다. 후대각 섹션과 다이렉션 D0기점을 축으로 천체축 각도 75도, 고정 디자인라인으로 진행한다.
FFL2004	아웃라인을 EL스퀘어 라인으로 정리한다. 후대각 섹션과 다이렉션 D0기점을 축으로 천체축 각도 75도, 고정 디자인라인으로 진행한다. 전대각섹션과 다이렉션 D0기점을 축으로 천체축 각도 135도, 고정디자인라인으로 진행한다. 세로섹션과 다이렉션 D8기점을 축으로 천체축 각도 135도, 혼합 디자인라인과 스퀘어커트로 진행한다.
FFL2006	아웃라인을 FL스퀘어라인으로 정리한다. 후대각섹션과 다이렉션 D0기점을 축으로 천체축 각도 75도 고정디자인라인으로 진행한다. 전대각섹션과 다이렉션 D0기점을 천체축각도 135도, 고정디자인라인으로 진행한다. 파이섹션과 다이렉션 D8~D4기점까지 이동 디자인라인과 사이드 부분은 다이렉션 D4기점을 축으로 천체축 각도 180도, 고정 디자인라인으로 진행한다.
FFL3002	가로섹션과 천체축각도 0도~45도까지 이동 디자인라인과 다이렉션 D8기점, 스퀘어 그래쥬에이션으로 진행한다. 후대각 섹션과 다이렉션 D0기점을 축으로 천체축각도 75도, 고정 디자인라인으로 진행한다. 파이섹션과 천체축각도 180도 혼합 디자인라인으로 다이렉션 D8~D4기점까지 이동 디자인라인과 다이렉션 D4기점을 축으로 고정 디자인라인으로 진행한다.
FGL1001	엑스터널 부분은 천체축각도 0도 원랭스로 진행한다. 엑스터널 부분은 천체축 각도 180도 고정 디자인라인과 스퀘어커트로 진행한다. 인터널 부분은 천체축 각도 0도, 고정 디자인라인으로 진행한다. 또한, 인터널과 엑스터널은 디스커넥션 구조이다.
FGL1004	A존은 아웃라인을 먼저 정리한 후 파이섹션과 천체축각도 67.5도를 활용하여 다이렉션 D8~D6기점까지 이동 디자인 라인으로 진행한다. B존부터 전대각섹션과 다이렉션 D6기점을 활용하여 천체축 각도 67.5도까지 혼합 디자인라인을 활용하여 그래쥬에이션으로 진행한다. 후대각 섹션과 다이렉션 D0기점을 활용하여 천체축 각도 75도~135도까지 이동 디자인라인으로 진행한다.
FGL1005	가로섹션과 천체축 각도 0도 다이레션 D8기점을 축으로 고정 디자인라인을 활용하여 원랭스로 진행한다. 후대각 섹션과 천체축 각도 75도~135도 다이렉션 D0 기점을 축으로 이동 디자인라인으로 진행한다.
FGL1008	A존은 아웃라인을 먼저 정리한 후 파이섹션과 천체축 각도 45도를 활용하여 다이렉션 D8~D6기점까지 이동 디자인라인으로 진행한다. B존은 전대각 섹션과 천체축 각도 67.5도를 활용하여 다이렉션 D8~D6기점까지 이동 디자인라인으로 진행한다. 엑스터널 부분은 후대각 섹션과 천체축 각도 67.5도를 활용하여 다이렉션 D2~D6기점까지 이동 디자인라인으로 진행한다. C존은 파이섹션과 천체축각도 75도를 활용하여 다이렉션 D8~D6기점까지 이동 디자인라인으로 진행한다. 후대각 섹션과 천체축 각도 75도를 활용하여 다이렉션 D0기점을 축으로 고정 디자인 라인으로 진행한다. 파이섹션과 천체축 각도 180도 다이렉션 D8~D4 기점까지 이동 디자인라인으로 진행하고 사이드 부분은 다이렉션 D4기점을 축으로 고정 디자인라인으로 진행한다. 다이렉션 D6기점을 축으로 천체축 각도 90도 세로섹션, 스퀘어커트, 고정디자인라인으로 진행한다.
FGL1009	A존은 아웃라인을 먼저 정리한 후 파이섹션과 천체축각도 45도를 활용하여 다이렉션 D8~D6기점까지 이동 디자인라인으로 진행한다. B존은 전대각섹션과 천체축 각도 67.5도를 활용하여 다이렉션 D8~D6기점까지 이동 디자인라인으로 진행한다. C존은 파이섹션과 천체축각도 75도를 활용하여 다이렉션 D8~D6 기점까지 이동 디자인라인으로 진행한다. 후대각 섹션과 천체축 각도 75도 다이렉션 D0 기점을 축으로 고정 디자인라인으로 진행한다. 파이섹션과 천체축 각도 185도 다이렉션 D8~D4 기점까지 이동 디자인라인으로 진행하고, 사이드 부분은 다이렉션 D4기점을 축으로 고정 디자인라인으로 진행한다. 다이렉션 D6기점을 축으로 천체축 각도 90도 세로섹션, 스퀘어 커트, 고정 디자인라인으로 진행한다.
FGL1011	A존은 아웃라인을 먼저 정리한 후 파이섹션과 천체축 각도 45도, 다이렉션 D8~D6기점까지 이동 디자인라인으로 진행한다. B존부터는 전대각 섹션과 천체축 각도 45도 다이렉션 D6기점을 축으로 변이분배와 이동 디자인라인으로 진행한다.
FGL1013	엑스터널 부분은 천체축 각도0도, 다이렉션 D8~D2기점까지 이동 디자인라인을 활용하여 원랭스로 진행한다. 인터널부분은 천체축 각도 0도, 다이렉션 D8~D2기점까지 이동 디자인라인을 활용하여 원랭스로 진행한다. 파이섹션과 천체축 각도 180도 다이렉션 D8~D4기점까지 이동 디자인라인과 사이드는 다이렉션 D4기점을 축으로 고정 디자인라인으로 진행한다. 후대각 섹션과 천체축 각도 75도, 다이렉션 D0기점을 축으로 고정 디자인라인으로 진행한다.
FGL2004	엑스터널부분은 천체축각도 0도, 다이레션 D8~D2rlwjaRkwl 이동 디자인라인을 할용하여 원랭스로 진행한다. 인터널 부분은 천체축 각도 0도 다이렉션 D8~D2기점까지 고정디자인라인을 활용하여 원랭스로 진행한다. 후대각 섹션과 천체축 각도 75도 다이렉션 D0기점을 축으로 고정디자인라인으로 진행한다. 파이섹션과 천체축 각도90도, 스퀘어라인, 다이렉션 D8기점을 축으로 고정 디자인라인으로 진행한다. 전대각 섹션과 천체축각도 135도 다이렉션 D0기점을 축으로 고정 디자인라인으로 진행한다.
FGL3001	엑스터널 부분은 천체축 각도 0도 다이렉션 D8~D2기점까지 이동 디자인라인을 활용하여 원랭스로 진행한다. 엑스터널 부분은 천체축 각도 180도, 스퀘어라인 다이렉션 D8~D2기점까지 고정 디자인라인을 활용하여 진행한다. 인터널 부분은 천체축 각도 0도 다이렉션 D8~D2기점까지 고정 디자인라인을 활용하여 원랭스로 진행한다.
FHL1002	엑스터널부분은 후대각 섹션과 천체축각도 67.5도 다이렉션 D2~반대쪽 D6기점까지 이동 디자인라인을 활용하여 진행한다. 인터널 부분은 후대각섹션과 천체축 각도 75도, 다이렉션 D4~D8기점까지 변이분배와 이동디자인라인을 활용하여 그래쥬에이션으로 진행한다.
FHL1003	A존은 가로섹션과 천체축 각도 90도, 리프트L4, 다이렉션 D8~D6기점까지 혼합 디자인라인을 활용하여 진행한다. B존은 후대각 섹션과 천체축 각도 75도, 다이렉션 D2~반대쪽 D6기점까지 이동 디자인라인을 활용하여 진행한다. C존은 후대각 섹션과 천체축 각도 75도, 디스커넥션, 변이분배, 다이렉션 D4~D8기점까지 이동 디자인라인을 활용하여 그래쥬에이션으로 진행한다. C존은 후대각섹션과 천체축 각도 180도 다이렉션 D8~D4기점까지 이동 디자인라인과 스퀘어 커트로 진행한다.
