sample_code	recipe_summary_ko
FU0010	측면과 뒷머리 짧게 페이드. 정수리 레이어. 언더컷. 단정한 컷.
PB0001	측면과 뒷머리 짧게. 정수리 자연스러운 레이어. 포마드 스타일 가능. 깔끔한 컷.
PB0002	측면 둥글게 짧게. 정수리 그라데이션. 자연스러운 남성 스타일.
PB0003	측면 둥글게 짧게. 정수리 그라데이션. 깔끔한 페이드 컷.
PB0005	측면과 뒷머리 짧게. 정수리 레이어. 측면 정돈된 단정한 스타일.
PB0006	측면 둥글게 짧게. 정수리 그라데이션. 자연스러운 페이드.
PB0007	측면 둥글게 짧게. 정수리 자연스러운 레이어. 깔끔한 남성 컷.
PB0009	측면과 뒷머리 짧게. 정수리 레이어. 측면 정돈된 스타일.
PB0010	측면 뒷머리 짧게 페이드. 정수리 레이어. 측면 정돈된 단정한 컷.
PB0011	측면과 뒷머리 짧게. 정수리 그라데이션과 레이어. 측면 정돈된 깔끔한 스타일.
BZ0001	전체 짧게 크루컷. 스포츠 컷. 둥근 형태. 깔끔하고 시원한 스타일.
BZ0002	전체 짧게 크루컷. 스포츠 컷. 둥근 형태. 단정한 짧은 머리.
BZ0003	전체 짧게 크루컷. 둥근 형태. 깔끔한 스포츠 스타일.
BZ0004	전체 짧게 크루컷. 둥근 형태. 시원하고 단정한 스타일.
BZ0005	전체 아주 짧게 크루컷. 스포츠 컷. 매우 깔끔한 스타일.
CP0001	측면 짧게 크루컷. 정수리 레이어. 크롭 스타일. 깔끔한 남성 컷.
CP0002	측면 짧게 크루컷. 정수리 레이어. 크롭 스타일. 단정한 컷.
CP0003	측면 짧게 크루컷. 정수리 레이어. 크롭 스타일. 시원한 남성 컷.
CP0004	측면 짧게 크루컷. 정수리 레이어. 크롭 스타일. 깔끔한 컷.
MC0001	측면 짧게 페이드. 정수리 레이어. 텍스처 있는 자연스러운 스타일.
MC0002	측면 짧게 크루컷. 정수리 스퀘어 레이어. 텍스처 있는 모던 컷.
MC0003	측면 짧게 페이드. 정수리 레이어. 텍스처 있는 자연스러운 볼륨 스타일.
MC0004	측면 짧게 크루컷. 정수리 레이어. 텍스처 있는 모던한 남성 컷.
MC0005	측면 짧게 크루컷. 정수리 스퀘어 레이어. 텍스처 있는 깔끔한 스타일.
